PDB,plddt,6ln2_tmscore,6x18_tmscore,seq_count
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_026_alphafold2_ptm_model_1_seed_005.pdb,65.45691139240506,0.8592,0.8377,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_004.pdb,69.29534177215186,0.84747,0.83301,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_019_alphafold2_ptm_model_5_seed_004.pdb,65.76805063291144,0.8572,0.83545,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_021_alphafold2_ptm_model_2_seed_005.pdb,65.69131645569625,0.85379,0.83869,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_038_alphafold2_ptm_model_4_seed_002.pdb,62.814607594936774,0.72172,0.74077,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_017_alphafold2_ptm_model_4_seed_001.pdb,65.91769620253173,0.82414,0.80855,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_011_alphafold2_ptm_model_5_seed_007.pdb,66.82617721518987,0.85478,0.8366,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_022_alphafold2_ptm_model_2_seed_000.pdb,65.68541772151896,0.85327,0.83928,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_007.pdb,71.07607594936705,0.85355,0.84613,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_034_alphafold2_ptm_model_1_seed_004.pdb,64.08612658227844,0.85503,0.84176,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_014_alphafold2_ptm_model_4_seed_000.pdb,66.4181518987341,0.84313,0.82739,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_013_alphafold2_ptm_model_4_seed_004.pdb,66.52726582278476,0.83458,0.82882,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_016_alphafold2_ptm_model_5_seed_000.pdb,66.22546835443039,0.863,0.83624,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_025_alphafold2_ptm_model_1_seed_002.pdb,65.57941772151896,0.85638,0.84471,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_007_alphafold2_ptm_model_3_seed_002.pdb,69.01005063291139,0.85131,0.84407,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_029_alphafold2_ptm_model_2_seed_006.pdb,64.79121518987344,0.85395,0.83221,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_032_alphafold2_ptm_model_4_seed_003.pdb,64.47551898734176,0.81915,0.81946,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_023_alphafold2_ptm_model_2_seed_001.pdb,65.60696202531652,0.85435,0.82855,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_005.pdb,70.15283544303801,0.85308,0.83731,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_027_alphafold2_ptm_model_2_seed_002.pdb,65.37855696202527,0.85644,0.83435,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_033_alphafold2_ptm_model_5_seed_003.pdb,64.1232911392405,0.85361,0.83539,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_018_alphafold2_ptm_model_5_seed_005.pdb,65.83394936708865,0.85895,0.8341,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_010_alphafold2_ptm_model_5_seed_002.pdb,67.32901265822784,0.86082,0.83895,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_035_alphafold2_ptm_model_2_seed_004.pdb,63.87075949367089,0.84992,0.83249,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_039_alphafold2_ptm_model_1_seed_006.pdb,62.82440506329108,0.85141,0.8383,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_040_alphafold2_ptm_model_1_seed_003.pdb,57.244202531645556,0.80475,0.79653,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_009_alphafold2_ptm_model_4_seed_007.pdb,67.34835443037969,0.8397,0.83829,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_030_alphafold2_ptm_model_1_seed_001.pdb,64.6700759493671,0.85781,0.83109,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,69.24012658227849,0.84882,0.83147,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_006.pdb,69.24696202531648,0.84928,0.83025,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_036_alphafold2_ptm_model_2_seed_003.pdb,63.636784810126635,0.8405,0.81491,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_031_alphafold2_ptm_model_5_seed_006.pdb,64.5698987341772,0.85336,0.83159,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_028_alphafold2_ptm_model_2_seed_007.pdb,65.30306329113921,0.79425,0.80218,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_015_alphafold2_ptm_model_4_seed_005.pdb,66.46602531645568,0.83864,0.83368,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_008_alphafold2_ptm_model_3_seed_003.pdb,68.40759493670889,0.85404,0.83894,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_024_alphafold2_ptm_model_1_seed_000.pdb,65.60230379746828,0.86233,0.84096,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_020_alphafold2_ptm_model_5_seed_001.pdb,65.73273417721516,0.85153,0.82945,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_037_alphafold2_ptm_model_4_seed_006.pdb,63.51779746835443,0.81338,0.81116,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_012_alphafold2_ptm_model_1_seed_007.pdb,66.6887594936709,0.8618,0.84406,17
/af_cluster_compar/GLP1R/pred/6ln2/GLP1R_142_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_001.pdb,69.5719746835443,0.84788,0.82888,17
