1ake_rmsd,4ake_rmsd,pLDDT,pdb_path
2.8761537,4.4957275,89.07065420560747,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_039_alphafold2_ptm_model_5_seed_000.pdb
3.5452013,3.9512422,92.94794392523364,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_005.pdb
3.5749838,3.924431,90.21584112149532,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_037_alphafold2_ptm_model_5_seed_004.pdb
3.7421064,3.5730634,91.54425233644861,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_018_alphafold2_ptm_model_2_seed_007.pdb
4.1734667,3.2853758,91.70355140186915,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_014_alphafold2_ptm_model_4_seed_004.pdb
2.4702632,5.129683,92.3116355140187,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_006.pdb
2.3810053,5.162455,91.8272429906542,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_012_alphafold2_ptm_model_3_seed_007.pdb
3.7937317,3.5778322,90.72593457943924,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_033_alphafold2_ptm_model_1_seed_003.pdb
2.5855474,4.9139595,91.0728504672897,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_028_alphafold2_ptm_model_3_seed_003.pdb
3.4332721,4.0500746,88.57121495327102,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/4ake_rmsd/control_prediction/bin_21/bin21_random_seq_unrelaxed_rank_040_alphafold2_ptm_model_1_seed_000.pdb
