PDB,plddt,seq_count,6nc7_rmsd,6nc9_rmsd
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_040_alphafold2_ptm_model_2_seed_004.pdb,78.95576842105261,17,8.626111,6.6211815
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_039_alphafold2_ptm_model_2_seed_002.pdb,79.89423157894736,17,8.600925,6.5986404
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_037_alphafold2_ptm_model_1_seed_001.pdb,89.25119999999998,17,6.023517,2.3845792
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_038_alphafold2_ptm_model_1_seed_000.pdb,89.25688421052631,17,6.248534,2.2507958
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_035_alphafold2_ptm_model_1_seed_003.pdb,89.5374947368421,17,6.0358686,2.34744
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_036_alphafold2_ptm_model_1_seed_004.pdb,89.58608421052631,17,5.8988013,2.6135688
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_034_alphafold2_ptm_model_1_seed_005.pdb,89.63732631578947,17,6.0901937,2.242419
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_033_alphafold2_ptm_model_1_seed_007.pdb,89.82604210526314,17,6.038336,2.347636
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_032_alphafold2_ptm_model_1_seed_002.pdb,89.87172631578947,17,6.1031685,2.2196918
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_031_alphafold2_ptm_model_4_seed_007.pdb,89.91835789473684,17,6.0231166,2.2778354
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_029_alphafold2_ptm_model_4_seed_006.pdb,89.91922105263157,17,6.055745,2.2212825
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_030_alphafold2_ptm_model_1_seed_006.pdb,89.9414947368421,17,6.112669,2.2207203
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_028_alphafold2_ptm_model_5_seed_004.pdb,90.01564210526315,17,6.058218,2.2594383
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_026_alphafold2_ptm_model_4_seed_001.pdb,90.03783157894738,17,5.9456515,2.4567044
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_027_alphafold2_ptm_model_4_seed_002.pdb,90.07576842105264,17,6.03265,2.2779062
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_024_alphafold2_ptm_model_4_seed_005.pdb,90.0994947368421,17,6.0410366,2.2530549
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_025_alphafold2_ptm_model_4_seed_000.pdb,90.12574736842105,17,6.045232,2.2362332
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_023_alphafold2_ptm_model_4_seed_004.pdb,90.13357894736842,17,6.031548,2.325204
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_021_alphafold2_ptm_model_2_seed_001.pdb,90.26012631578946,17,6.00319,2.3351467
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_022_alphafold2_ptm_model_4_seed_003.pdb,90.26406315789474,17,6.03265,2.2808266
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_020_alphafold2_ptm_model_5_seed_000.pdb,90.27275789473684,17,6.0090876,2.307231
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_019_alphafold2_ptm_model_5_seed_005.pdb,90.30063157894737,17,6.03692,2.3410187
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_018_alphafold2_ptm_model_2_seed_003.pdb,90.36833684210528,17,5.9706187,2.4193146
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_017_alphafold2_ptm_model_2_seed_007.pdb,90.46027368421053,17,6.0484405,2.2649653
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_016_alphafold2_ptm_model_2_seed_006.pdb,90.48387368421052,17,6.0573497,2.2375977
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_005.pdb,90.52221052631579,17,6.0078206,2.3400304
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_013_alphafold2_ptm_model_5_seed_007.pdb,90.5994105263158,17,5.9925804,2.283442
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_014_alphafold2_ptm_model_5_seed_006.pdb,90.62614736842106,17,6.03174,2.2076104
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_012_alphafold2_ptm_model_5_seed_001.pdb,90.64976842105263,17,5.9404173,2.35552
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_011_alphafold2_ptm_model_3_seed_007.pdb,90.71387368421053,17,5.8914447,2.4700255
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_010_alphafold2_ptm_model_3_seed_000.pdb,90.76922105263158,17,5.7611737,2.6436937
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_009_alphafold2_ptm_model_3_seed_005.pdb,90.8372,17,5.931167,2.418651
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_008_alphafold2_ptm_model_2_seed_000.pdb,90.88141052631579,17,6.04221,2.286262
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_007_alphafold2_ptm_model_5_seed_003.pdb,90.89656842105262,17,5.957577,2.3638406
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_001.pdb,91.00953684210526,17,5.763428,2.7393885
occurrence_voting_6nc9_rmsd/results/prediction/top_sequences_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_002.pdb,91.04528421052632,17,5.9534664,2.4063935
