2haw_tmscore,1k23_tmscore,pLDDT,pdb_path
0.87165,0.67887,89.83297734627831,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_031_alphafold2_ptm_model_1_seed_003.pdb
0.83922,0.68246,91.47469255663432,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
0.83377,0.68335,89.59113268608414,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_034_alphafold2_ptm_model_2_seed_007.pdb
0.84994,0.68202,90.73563106796115,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_005.pdb
0.88954,0.67529,91.30550161812302,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_002.pdb
0.87536,0.67747,91.03281553398061,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_008_alphafold2_ptm_model_3_seed_002.pdb
0.84961,0.68026,90.75381877022667,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_016_alphafold2_ptm_model_5_seed_005.pdb
0.87754,0.67646,90.88715210355986,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_012_alphafold2_ptm_model_5_seed_006.pdb
0.85743,0.68122,90.99064724919096,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_009_alphafold2_ptm_model_2_seed_003.pdb
0.87222,0.67623,90.14427184466018,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_028_alphafold2_ptm_model_5_seed_004.pdb
0.90625,0.67535,89.82025889967638,/results/PPAC_BACSU/run1/04_recompile/1k23_tmscore/control_prediction/bin_34/bin34_random_seq_unrelaxed_rank_032_alphafold2_ptm_model_4_seed_007.pdb
