PDB,plddt,1ake_rmsd,4ake_rmsd,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.39378504672898,4.895352,2.57431,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_86_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.52383177570093,3.1457858,4.2313266,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.9852336448598,3.324382,4.0230336,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.05705607476635,4.0359297,3.3410199,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.8785046728972,3.8001533,3.7241445,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_85_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.35593457943926,3.6947381,3.96757,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_65_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.4350934579439,3.4417005,3.9169247,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.41051401869159,4.219121,3.3941844,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_56_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.49023364485983,3.5503817,3.7729309,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.33196261682244,3.5575778,3.7185209,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_96_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.28271028037383,3.5694656,3.7763703,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.90499999999999,4.293576,3.1349633,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_77_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.44308411214953,4.269814,3.1069858,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.74612149532712,3.6599886,3.7028058,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_73_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.25341121495329,4.969613,2.4173377,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_81_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.11341121495326,4.211579,3.1251245,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_54_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.73046728971963,4.148851,3.2752035,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_28_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.78934579439253,3.881487,3.3870013,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_76_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.0029906542056,4.0546975,3.2794569,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_74_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.4077570093458,4.0803976,3.283479,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.55144859813085,3.6927118,3.6131215,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_22_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.72205607476634,4.7820997,2.5178432,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_68_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.39855140186916,3.6349423,3.820582,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_78_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.12364485981308,2.5116084,4.87183,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.68607476635513,4.1399093,3.2861967,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_21_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.10939252336449,4.267271,3.078469,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_41_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.84883177570093,3.798213,3.5533547,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_79_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.44855140186917,4.124698,3.2460384,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.32392523364486,3.6590712,3.6539376,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_58_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.10658878504672,3.1268184,4.2269907,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_50_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.71406542056076,4.4615517,2.9259756,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.42228971962618,4.0546007,3.331687,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_82_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.51995327102804,3.86789,3.4998572,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_84_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.90350467289718,3.9877257,3.468165,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_17_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.55177570093458,4.8591104,2.5071535,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_95_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.81878504672898,3.1363,4.4607577,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_71_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.60453271028037,2.9299948,4.459058,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.88985981308412,2.3095748,5.4617844,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.64845794392525,3.3314009,4.291037,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_12_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.77841121495327,4.6871552,2.6257708,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_63_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.06850467289722,3.1399012,4.2003236,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_38_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.97785046728973,4.13722,3.1655936,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_15_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.43691588785046,4.2849603,3.0871341,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_23_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.42345794392524,4.3989263,3.0332198,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_94_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.72990654205609,4.673644,2.6804395,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_51_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.5858878504673,2.9034278,4.7330313,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.59271028037384,3.2286067,4.0840955,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_61_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.43785046728972,2.222196,5.7944736,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_55_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.54859813084113,3.4075897,3.9069626,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_53_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.67107476635516,4.541092,2.8263872,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_88_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.48205607476635,2.4819458,5.792115,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_33_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.89957943925235,3.7455018,3.641846,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_52_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.3089719626168,3.616505,4.0195355,11,1
