PDB,plddt,4ake_rmsd,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.39378504672898,2.57431,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_86_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.52383177570093,4.2313266,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.9852336448598,4.0230336,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.05705607476635,3.3410199,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.8785046728972,3.7241445,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_85_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.35593457943926,3.96757,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_65_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.4350934579439,3.9169247,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.41051401869159,3.3941844,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_56_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.49023364485983,3.7729309,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.33196261682244,3.7185209,11,1
