PDB,plddt,local_plddt,seq_count,bound_rmsd,apo_rmsd
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_040_alphafold2_ptm_model_1_seed_003.pdb,79.88156573116693,76.12282051282051,17,2.3997831,4.4239783
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_039_alphafold2_ptm_model_2_seed_001.pdb,80.08812407680946,77.50333333333333,17,2.9287405,3.7267096
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_038_alphafold2_ptm_model_2_seed_000.pdb,80.29333825701626,74.0279487179487,17,3.9032593,2.9142642
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_037_alphafold2_ptm_model_1_seed_006.pdb,80.88168389955686,76.0302564102564,17,1.9608575,4.9848604
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_036_alphafold2_ptm_model_2_seed_003.pdb,81.44605612998522,74.98589743589744,17,4.066838,2.621578
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_035_alphafold2_ptm_model_1_seed_000.pdb,82.6898670605613,79.04128205128205,17,0.91666263,6.38882
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_034_alphafold2_ptm_model_1_seed_004.pdb,82.82604135893648,79.22641025641026,17,2.5887659,4.181534
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_033_alphafold2_ptm_model_4_seed_007.pdb,82.90595273264402,76.85128205128206,17,3.3899283,3.3159678
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_032_alphafold2_ptm_model_1_seed_007.pdb,83.08623338257017,78.78717948717949,17,1.2014492,5.7740154
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_031_alphafold2_ptm_model_2_seed_005.pdb,83.11664697193501,76.87410256410256,17,3.273579,3.4052525
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_030_alphafold2_ptm_model_1_seed_001.pdb,83.62635155096012,80.06820512820512,17,2.3770356,4.440765
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_029_alphafold2_ptm_model_5_seed_006.pdb,83.76646971935007,76.47256410256409,17,3.9333243,2.824981
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_028_alphafold2_ptm_model_2_seed_007.pdb,83.80711964549482,77.65743589743589,17,2.892293,3.8333335
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_027_alphafold2_ptm_model_1_seed_002.pdb,83.83784342688331,79.67923076923078,17,1.7576609,5.19242
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_026_alphafold2_ptm_model_5_seed_007.pdb,84.07118168389957,75.56256410256411,17,4.4074445,2.3230658
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_025_alphafold2_ptm_model_5_seed_003.pdb,84.18556868537665,75.75871794871796,17,4.1103687,2.7028294
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_024_alphafold2_ptm_model_3_seed_007.pdb,84.36748892171344,78.40076923076923,17,3.9455047,2.7631373
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_023_alphafold2_ptm_model_2_seed_002.pdb,84.39062038404727,79.02794871794872,17,2.9114819,3.8203993
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_022_alphafold2_ptm_model_5_seed_005.pdb,84.39924667651403,76.50589743589742,17,4.225628,2.558478
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_021_alphafold2_ptm_model_1_seed_005.pdb,84.41810930576071,80.3174358974359,17,2.2016084,4.637973
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_020_alphafold2_ptm_model_5_seed_002.pdb,84.60051698670605,75.91794871794872,17,3.8631265,2.8661141
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_019_alphafold2_ptm_model_3_seed_004.pdb,84.66178729689808,80.12846153846154,17,3.0313256,3.7253997
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_018_alphafold2_ptm_model_5_seed_001.pdb,84.74858197932052,77.22230769230768,17,3.9267468,2.7792904
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_017_alphafold2_ptm_model_4_seed_000.pdb,84.83081240768094,78.58461538461539,17,4.361765,2.357124
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_016_alphafold2_ptm_model_5_seed_004.pdb,84.87989660265879,76.32564102564102,17,3.9537034,2.7537754
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_006.pdb,84.91437223042836,78.47820512820513,17,2.7537537,3.9723554
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_014_alphafold2_ptm_model_5_seed_000.pdb,85.06636632200886,76.48538461538462,17,4.0547404,2.7159553
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_013_alphafold2_ptm_model_2_seed_004.pdb,85.22441654357459,79.37846153846155,17,3.1481037,3.566499
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_012_alphafold2_ptm_model_4_seed_001.pdb,85.27875923190547,78.06282051282052,17,3.7325697,2.9893205
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_011_alphafold2_ptm_model_3_seed_005.pdb,85.51685376661743,81.3302564102564,17,3.0523722,3.626925
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/T1214/run2/random_16/random16_pred/random16_sequences_unrelaxed_rank_010_alphafold2_ptm_model_4_seed_002.pdb,85.6099704579025,79.24256410256412,17,4.102652,2.5624492
