,"3L0S_1|Chains A, B[auth C]|Adenylate kinase|Desulfovibrio gigas (879)","4NP6_1|Chains A, B, C, D|Adenylate kinase|Vibrio cholerae O1 biovar El Tor (243277)",2XB4_1|Chain A|ADENYLATE KINASE|DESULFOVIBRIO GIGAS (879),"2C9Y_1|Chain A|ADENYLATE KINASE ISOENZYME 2, MITOCHONDRIAL|HOMO SAPIENS (9606)",4W5H_1|Chain A|Adenylate kinase|Streptococcus pneumoniae D39 (373153),6S36_1|Chain A|Adenylate kinase|Escherichia coli (562),6RZE_1|Chain A|Adenylate kinase|Escherichia coli (562),"4PZL_1|Chains A, B, C, D|Adenylate kinase|Francisella tularensis subsp. tularensis (177416)",3L0P_1|Chain A|Adenylate kinase|Desulfovibrio gigas (879)
UniRef100_A0A938G224,0.3137254901960784,0.4,0.3137254901960784,0.37073170731707317,0.373134328358209,0.4097560975609756,0.4097560975609756,0.35121951219512193,0.3137254901960784
UniRef100_A0A2E4KGF4,0.3333333333333333,0.41346153846153844,0.3333333333333333,0.39903846153846156,0.33004926108374383,0.3894230769230769,0.3894230769230769,0.41346153846153844,0.3333333333333333
UniRef100_A0A7X8EH41,0.37988826815642457,0.4,0.37988826815642457,0.3611111111111111,0.34444444444444444,0.37777777777777777,0.37777777777777777,0.36666666666666664,0.37988826815642457
UniRef100_A0A6P6S0I7,0.275,0.3054187192118227,0.275,0.325,0.3,0.31527093596059114,0.31527093596059114,0.2955665024630542,0.275
SRR3989339_900174,0.2898550724637681,0.34782608695652173,0.2898550724637681,0.33816425120772947,0.34,0.357487922705314,0.357487922705314,0.3526570048309179,0.2898550724637681
ERR1740139_134365,0.28205128205128205,0.41545893719806765,0.3,0.4106280193236715,0.32673267326732675,0.4444444444444444,0.4444444444444444,0.3853658536585366,0.28205128205128205
10844|scaffold03870_6|+6375|00,0.35555555555555557,0.3701657458563536,0.35555555555555557,0.34806629834254144,0.34806629834254144,0.3701657458563536,0.3701657458563536,0.3756906077348066,0.35555555555555557
SRR5919199_676827,0.31213872832369943,0.37222222222222223,0.31213872832369943,0.3888888888888889,0.4111111111111111,0.38333333333333336,0.38333333333333336,0.3611111111111111,0.31213872832369943
HubBroStandDraft_2_1064218.scaffolds.fasta_scaffold178120_2,0.3076923076923077,0.37158469945355194,0.3076923076923077,0.3812154696132597,0.3149171270718232,0.36065573770491804,0.36065573770491804,0.3442622950819672,0.3076923076923077
GraSoiStandDraft_58_1057296.scaffolds.fasta_scaffold555110_1,0.26666666666666666,0.28205128205128205,0.26666666666666666,0.2923076923076923,0.2717948717948718,0.29743589743589743,0.29743589743589743,0.28717948717948716,0.26666666666666666
GraSoiStandDraft_29_1057270.scaffolds.fasta_scaffold1134355_1,0.2696078431372549,0.32195121951219513,0.2696078431372549,0.33170731707317075,0.3,0.2926829268292683,0.2926829268292683,0.27941176470588236,0.2696078431372549
