,3BE4_1|Chain A|Adenylate kinase|Cryptosporidium parvum Iowa II (353152),"1E4V_1|Chains A, B|Adenylate kinase|Escherichia coli (562)","4TYQ_1|Chains A, B|Adenylate kinase|Bacillus subtilis 168 (224308)","4JLP_1|Chains A, B|Adenylate kinase|Aquifex aeolicus (224324)",1ZIP_1|Chain A|ADENYLATE KINASE|Geobacillus stearothermophilus (1422),"5EJE_1|Chains A, B|Adenylate kinase|Escherichia coli (331111)","6ZJB_1|Chains A, B, C, D, E, F|GTP:AMP phosphotransferase AK3, mitochondrial|Homo sapiens (9606)",5G3Y_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),5G41_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),"4QBI_1|Chains A, B|Adenylate kinase|Geobacillus stearothermophilus (1422)",4QBF_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),"2EU8_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","4X8L_1|Chains A, B|Adenylate kinase|Escherichia coli K-12 (83333)","2ORI_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","2OO7_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)",1P3J_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),4MKG_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),4QBG_1|Chain A[auth B]|Adenylate kinase|Bacillus subtilis (224308),3FB4_1|Chain A|Adenylate kinase|Marinibacillus marinus (86667),"1E4Y_1|Chains A, B|Adenylate kinase|Escherichia coli (562)","8BQF_1|Chains A, B, C, D, E, F|Adenylate kinase|Escherichia coli (562)",3AKY_1|Chain A|ADENYLATE KINASE|Saccharomyces cerevisiae (4932),"4NU0_1|Chains A, B|Adenylate kinase|Streptococcus pneumoniae (373153)","4TYP_1|Chains A, B, C, D|Adenylate kinase|Bacillus subtilis 168 (224308)",5G3Z_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),"3HPR_1|Chains A, B|Adenylate kinase|Escherichia coli (83333)",5X6J_1|Chain A|Adenylate kinase|Sporosarcina globispora (1459),1S3G_1|Chain A|Adenylate kinase|Sporosarcina globispora (1459),4K46_1|Chain A|Adenylate kinase|Photobacterium profundum (74109),5X6I_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),"3X2S_1|Chains A, B|Adenylate kinase|Escherichia coli str. K-12 substr. MDS42 (1110693)",6HAM_1|Chain A|Adenylate kinase|Escherichia coli (strain K12) (83333),2AKY_1|Chain A|ADENYLATE KINASE|Saccharomyces cerevisiae (4932),"2QAJ_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","3HPQ_1|Chains A, B|Adenylate kinase|Escherichia coli (83333)","4QBH_1|Chains A, B|Adenylate kinase|Geobacillus stearothermophilus (1422)","4X8O_1|Chains A, B|Adenylate kinase|Escherichia coli (562)",6HAP_1|Chain A|Adenylate kinase|Escherichia coli O139:H28 (strain E24377A / ETEC) (331111),"2OSB_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","1ZAK_1|Chains A, B|ADENYLATE KINASE|Zea mays (4577)","3DL0_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","4MKF_1|Chains A, B|Adenylate kinase|Bacillus subtilis (224308)",2RGX_1|Chain A|Adenylate kinase|Aquifex aeolicus (63363),2P3S_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),"4W5J_1|Chains A, B, C, D|Adenylate kinase|Streptococcus pneumoniae D39 (373153)",4MKH_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),"3TLX_1|Chains A, B, C, D|Adenylate kinase 2|Plasmodium falciparum (5833)"
UniRef100_A0A1Y6F1K7,0.49038461538461536,0.704225352112676,0.46634615384615385,0.4797979797979798,0.4855769230769231,0.6995305164319249,0.43414634146341463,0.5432692307692307,0.5,0.47596153846153844,0.4567307692307692,0.47596153846153844,0.704225352112676,0.47115384615384615,0.47115384615384615,0.47596153846153844,0.46153846153846156,0.46634615384615385,0.4951923076923077,0.6995305164319249,0.704225352112676,0.4807692307692308,0.41379310344827586,0.47115384615384615,0.5048076923076923,0.7089201877934272,0.4807692307692308,0.47596153846153844,0.7183098591549296,0.47115384615384615,0.6995305164319249,0.7089201877934272,0.47393364928909953,0.47596153846153844,0.7089201877934272,0.47115384615384615,0.704225352112676,0.6948356807511737,0.47115384615384615,0.4207920792079208,0.47596153846153844,0.47115384615384615,0.48484848484848486,0.47596153846153844,0.41379310344827586,0.4519230769230769,0.4423076923076923
UniRef100_A0A1H3Y9N2,0.47596153846153844,0.647887323943662,0.47115384615384615,0.48484848484848486,0.5,0.6431924882629108,0.4292682926829268,0.5480769230769231,0.5192307692307693,0.4951923076923077,0.47596153846153844,0.4855769230769231,0.647887323943662,0.4807692307692308,0.4807692307692308,0.4855769230769231,0.47115384615384615,0.47115384615384615,0.5,0.6431924882629108,0.647887323943662,0.4375,0.4236453201970443,0.47596153846153844,0.5240384615384616,0.647887323943662,0.4807692307692308,0.47596153846153844,0.6525821596244131,0.4807692307692308,0.647887323943662,0.6384976525821596,0.4375,0.4855769230769231,0.6525821596244131,0.4855769230769231,0.647887323943662,0.6384976525821596,0.4807692307692308,0.39603960396039606,0.4807692307692308,0.4807692307692308,0.4898989898989899,0.4855769230769231,0.4236453201970443,0.46153846153846156,0.39903846153846156
UniRef100_A0A2E9VDK4,0.47115384615384615,0.5539906103286385,0.4807692307692308,0.45685279187817257,0.47596153846153844,0.5492957746478874,0.4095238095238095,0.5288461538461539,0.4951923076923077,0.4807692307692308,0.4855769230769231,0.47393364928909953,0.5539906103286385,0.47393364928909953,0.46919431279620855,0.47596153846153844,0.4855769230769231,0.47596153846153844,0.49038461538461536,0.5492957746478874,0.5586854460093896,0.4567307692307692,0.4482758620689655,0.47596153846153844,0.4951923076923077,0.5586854460093896,0.4786729857819905,0.47393364928909953,0.5868544600938967,0.47115384615384615,0.5492957746478874,0.5539906103286385,0.46153846153846156,0.47393364928909953,0.5586854460093896,0.47115384615384615,0.5539906103286385,0.5539906103286385,0.46919431279620855,0.37320574162679426,0.47596153846153844,0.4807692307692308,0.4619289340101523,0.47393364928909953,0.4482758620689655,0.460093896713615,0.40865384615384615
UniRef100_A0A960RTW1,0.43137254901960786,0.4117647058823529,0.4362745098039216,0.422680412371134,0.4362745098039216,0.4117647058823529,0.3613861386138614,0.5098039215686274,0.46568627450980393,0.4117647058823529,0.45098039215686275,0.4411764705882353,0.4117647058823529,0.4411764705882353,0.4362745098039216,0.4362745098039216,0.45098039215686275,0.4362745098039216,0.46568627450980393,0.4068627450980392,0.4117647058823529,0.38235294117647056,0.3768844221105528,0.4264705882352941,0.46078431372549017,0.4166666666666667,0.46078431372549017,0.46078431372549017,0.4019607843137255,0.4362745098039216,0.4117647058823529,0.4117647058823529,0.3872549019607843,0.4411764705882353,0.4166666666666667,0.4166666666666667,0.4117647058823529,0.4117647058823529,0.4362745098039216,0.3939393939393939,0.44607843137254904,0.4264705882352941,0.42783505154639173,0.4411764705882353,0.3768844221105528,0.4362745098039216,0.39215686274509803
UniRef100_A0A957W8F3,0.4195121951219512,0.40487804878048783,0.4878048780487805,0.46153846153846156,0.44390243902439025,0.4,0.39901477832512317,0.5121951219512195,0.4975609756097561,0.44390243902439025,0.4975609756097561,0.4682926829268293,0.40487804878048783,0.47317073170731705,0.4634146341463415,0.4682926829268293,0.4926829268292683,0.48292682926829267,0.5121951219512195,0.4,0.40487804878048783,0.4,0.475,0.48292682926829267,0.4878048780487805,0.4097560975609756,0.48292682926829267,0.48292682926829267,0.43414634146341463,0.4682926829268293,0.4146341463414634,0.4146341463414634,0.4,0.4682926829268293,0.4097560975609756,0.44878048780487806,0.4097560975609756,0.4097560975609756,0.4634146341463415,0.3417085427135678,0.47804878048780486,0.4682926829268293,0.4666666666666667,0.4682926829268293,0.475,0.4878048780487805,0.375609756097561
UniRef100_A0A938TB16,0.3786407766990291,0.3592233009708738,0.3932038834951456,0.42857142857142855,0.4029126213592233,0.35436893203883496,0.35784313725490197,0.45145631067961167,0.4077669902912621,0.41262135922330095,0.3883495145631068,0.4077669902912621,0.3640776699029126,0.4077669902912621,0.4029126213592233,0.4077669902912621,0.3883495145631068,0.39805825242718446,0.3786407766990291,0.35436893203883496,0.3640776699029126,0.38349514563106796,0.3482587064676617,0.38349514563106796,0.4174757281553398,0.3640776699029126,0.39805825242718446,0.39805825242718446,0.38349514563106796,0.4077669902912621,0.36893203883495146,0.3592233009708738,0.38349514563106796,0.4077669902912621,0.3640776699029126,0.4174757281553398,0.3592233009708738,0.3640776699029126,0.4077669902912621,0.295,0.4029126213592233,0.39805825242718446,0.4336734693877551,0.4077669902912621,0.3482587064676617,0.3786407766990291,0.28640776699029125
UniRef100_A0A5C5Y5P7,0.36,0.4114285714285714,0.44,0.4011627906976744,0.4228571428571429,0.4,0.3930635838150289,0.4514285714285714,0.45714285714285713,0.44,0.4342857142857143,0.44,0.4057142857142857,0.44,0.4342857142857143,0.44,0.4342857142857143,0.44571428571428573,0.4514285714285714,0.4057142857142857,0.4228571428571429,0.37714285714285717,0.37142857142857144,0.44,0.4514285714285714,0.41714285714285715,0.4342857142857143,0.42857142857142855,0.4057142857142857,0.4342857142857143,0.4114285714285714,0.4,0.37714285714285717,0.44,0.41714285714285715,0.4514285714285714,0.41714285714285715,0.4114285714285714,0.4342857142857143,0.35260115606936415,0.44571428571428573,0.42857142857142855,0.4069767441860465,0.44,0.37142857142857144,0.41714285714285715,0.34285714285714286
UniRef100_A0A645EEG9,0.38202247191011235,0.4157303370786517,0.3651685393258427,0.38285714285714284,0.34831460674157305,0.4101123595505618,0.3657142857142857,0.42696629213483145,0.398876404494382,0.34831460674157305,0.38202247191011235,0.37640449438202245,0.4157303370786517,0.37640449438202245,0.3707865168539326,0.37640449438202245,0.38202247191011235,0.3595505617977528,0.38202247191011235,0.4101123595505618,0.42696629213483145,0.38202247191011235,0.3539325842696629,0.3539325842696629,0.39325842696629215,0.42134831460674155,0.4044943820224719,0.4044943820224719,0.4044943820224719,0.37640449438202245,0.42134831460674155,0.43258426966292135,0.38764044943820225,0.37640449438202245,0.42134831460674155,0.34831460674157305,0.4157303370786517,0.42134831460674155,0.3707865168539326,0.3465909090909091,0.3707865168539326,0.3651685393258427,0.38857142857142857,0.37640449438202245,0.3539325842696629,0.3651685393258427,0.39325842696629215
UniRef100_A0A7S4KQ35,0.3350253807106599,0.29441624365482233,0.37055837563451777,0.3125,0.34517766497461927,0.29949238578680204,0.30256410256410254,0.38578680203045684,0.3553299492385787,0.3401015228426396,0.36548223350253806,0.3401015228426396,0.29949238578680204,0.3401015228426396,0.3350253807106599,0.3401015228426396,0.36548223350253806,0.37055837563451777,0.3299492385786802,0.2893401015228426,0.30456852791878175,0.36548223350253806,0.3096446700507614,0.37055837563451777,0.36548223350253806,0.29949238578680204,0.3350253807106599,0.3350253807106599,0.3299492385786802,0.3401015228426396,0.29949238578680204,0.30456852791878175,0.37055837563451777,0.3401015228426396,0.29949238578680204,0.3350253807106599,0.29441624365482233,0.29949238578680204,0.3401015228426396,0.3553299492385787,0.34517766497461927,0.34517766497461927,0.3177083333333333,0.3401015228426396,0.3096446700507614,0.37055837563451777,0.3096446700507614
12613|JGI10216J12902_122417909_2|-130|01,0.39903846153846156,0.4423076923076923,0.4182692307692308,0.41414141414141414,0.42788461538461536,0.4375,0.35609756097560974,0.4855769230769231,0.46634615384615385,0.4423076923076923,0.4182692307692308,0.4326923076923077,0.4423076923076923,0.4326923076923077,0.4375,0.4326923076923077,0.4182692307692308,0.4182692307692308,0.42788461538461536,0.4375,0.4519230769230769,0.3894230769230769,0.3793103448275862,0.4230769230769231,0.46634615384615385,0.4423076923076923,0.4423076923076923,0.4423076923076923,0.4182692307692308,0.4326923076923077,0.4423076923076923,0.44711538461538464,0.3894230769230769,0.4326923076923077,0.44711538461538464,0.4423076923076923,0.4423076923076923,0.44711538461538464,0.42788461538461536,0.3613861386138614,0.4375,0.4326923076923077,0.41919191919191917,0.4326923076923077,0.3793103448275862,0.41346153846153844,0.34615384615384615
