1ake_rmsd,4ake_rmsd,pLDDT,pdb_path
2.1043322,6.124115,89.13224299065422,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_039_alphafold2_ptm_model_5_seed_003.pdb
1.7899114,6.2097363,92.387476635514,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_021_alphafold2_ptm_model_2_seed_005.pdb
1.850148,6.1970882,93.46981308411215,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_006_alphafold2_ptm_model_1_seed_007.pdb
1.9999962,6.089862,89.86630841121494,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_037_alphafold2_ptm_model_5_seed_007.pdb
1.8057126,6.1609526,92.03560747663549,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_027_alphafold2_ptm_model_2_seed_007.pdb
2.1078262,6.037005,93.27584112149533,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_011_alphafold2_ptm_model_4_seed_006.pdb
2.193519,6.047111,92.21766355140188,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_024_alphafold2_ptm_model_5_seed_005.pdb
1.804979,6.378177,90.92411214953272,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_032_alphafold2_ptm_model_1_seed_000.pdb
1.935918,6.1410365,93.3561214953271,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_009_alphafold2_ptm_model_3_seed_001.pdb
2.1265957,6.0163345,92.64065420560748,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_018_alphafold2_ptm_model_4_seed_001.pdb
1.9343821,6.084695,92.1633644859813,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_025_alphafold2_ptm_model_5_seed_006.pdb
1.9776077,6.188413,93.45429906542057,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_008_alphafold2_ptm_model_1_seed_002.pdb
1.8578337,6.128587,94.07331775700933,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_006.pdb
1.8158587,6.2087464,92.41668224299065,results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/03_recompile/1ake_rmsd/prediction/bin_19/bin19_sequences_unrelaxed_rank_020_alphafold2_ptm_model_3_seed_003.pdb
