PDB,plddt,2qke_tmscore,5jyt_tmscore,seq_count
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_018_alphafold2_ptm_model_4_seed_000.pdb,79.7932967032967,0.91307,0.55278,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_034_alphafold2_ptm_model_4_seed_007.pdb,77.3720879120879,0.90857,0.55899,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_025_alphafold2_ptm_model_4_seed_003.pdb,78.82626373626374,0.89613,0.55895,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_032_alphafold2_ptm_model_2_seed_002.pdb,77.85417582417585,0.91391,0.55935,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_023_alphafold2_ptm_model_1_seed_000.pdb,79.28857142857139,0.91832,0.55542,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_006.pdb,83.02483516483517,0.92916,0.53076,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_017_alphafold2_ptm_model_1_seed_003.pdb,79.84637362637363,0.92373,0.55034,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_027_alphafold2_ptm_model_2_seed_007.pdb,78.69351648351648,0.91474,0.55711,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_007_alphafold2_ptm_model_3_seed_007.pdb,82.14230769230765,0.9241,0.55406,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_036_alphafold2_ptm_model_4_seed_001.pdb,77.36153846153847,0.91149,0.55373,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_040_alphafold2_ptm_model_5_seed_004.pdb,69.48527472527472,0.86258,0.55008,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_009_alphafold2_ptm_model_1_seed_006.pdb,80.73934065934064,0.92865,0.53376,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_037_alphafold2_ptm_model_2_seed_001.pdb,77.3343956043956,0.90892,0.55847,6
/af_cluster_compar/KaiB/pred/2qke/KaiB_042_unrelaxed_rank_024_alphafold2_ptm_model_2_seed_004.pdb,79.08725274725278,0.9172,0.55383,6
