PDB,plddt,seq_count,6nc7_tmscore,6nc9_tmscore
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.06896842105262,11,0.72901,0.73009
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,78.17134736842105,11,0.73744,0.75899
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.24978947368423,11,0.73779,0.73873
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.31204210526316,11,0.71714,0.72564
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.17635789473685,11,0.72499,0.74139
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,61.19785263157895,11,0.62568,0.59962
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.06553684210527,11,0.70595,0.72764
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,78.71505263157894,11,0.71847,0.75745
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,56.50496842105263,11,0.53856,0.59135
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_01/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,61.04926315789474,11,0.61209,0.61128
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,78.59374736842105,11,0.7374,0.74719
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.99313684210526,11,0.73364,0.72295
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,79.49181052631579,11,0.72722,0.75435
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.57856842105264,11,0.72702,0.74334
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.39288421052632,11,0.72052,0.72001
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.42498947368422,11,0.72271,0.73405
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.08743157894736,11,0.72451,0.73761
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,62.0318947368421,11,0.57964,0.63321
results_updated/MurJ/run2/divide_and_conquer/clades/clade_001/shuffle_02/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.88132631578948,11,0.6866,0.76173
