PDB,plddt,local_plddt,seq_count,5ond_rmsd,2lcl_rmsd
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,84.83253086419754,81.88763157894736,13,11.11978,1.4244252
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000058_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.45567901234568,46.59000000000001,13,7.472839,14.547545
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,85.26549382716051,84.01763157894736,13,16.34914,1.4118875
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000052_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,77.44895061728394,62.41052631578947,13,14.449978,1.5697005
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.12358024691358,50.73842105263158,13,8.771055,11.913546
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000032_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,83.06567901234567,74.28526315789475,13,15.212272,1.5145712
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000017_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,84.38512345679013,81.1365789473684,13,14.698566,1.4231277
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000042_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.03320987654321,49.75315789473683,13,3.1461892,9.251049
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000036_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,86.52407407407406,86.14736842105262,13,17.371288,1.4375454
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000071_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.45351851851852,50.053421052631585,13,6.76572,1.9323164
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000023_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,86.48283950617285,86.18394736842104,13,15.125315,1.4370216
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,86.234012345679,86.03052631578947,13,15.495762,1.4030875
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000056_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,86.91222222222223,88.1821052631579,13,17.17414,1.4687386
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,86.55716049382715,88.36552631578947,13,14.383483,1.4401255
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000022_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.75722222222224,44.18236842105264,13,5.957199,11.02593
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000074_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,87.02012345679013,86.37815789473684,13,15.885055,1.4560881
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000046_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.72407407407407,43.98078947368421,13,6.072345,9.208095
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000031_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.12845679012347,58.417631578947365,13,3.1645482,10.300511
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000060_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,79.82376543209877,66.5878947368421,13,8.142288,1.5836077
results_updated/RfaH/run1/occurrence_voting_2lcl/batches/batch_001/group_000020_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.6462962962963,50.58,13,6.320464,12.894798
